lob,iteration,method,percentage_error
medmal,61,chain_ladder,-0.30291635948828716
medmal,61,mack_chain_ladder,-0.30291635948828716
medmal,61,bornhuetter_ferguson,0.06859588231572852
medmal,62,chain_ladder,-0.23124011386218127
medmal,62,mack_chain_ladder,-0.23124011386218127
medmal,62,bornhuetter_ferguson,0.11617381667587573
medmal,63,chain_ladder,-0.36012146999528555
medmal,63,mack_chain_ladder,-0.36012146999528555
medmal,63,bornhuetter_ferguson,0.028235128247313668
medmal,64,chain_ladder,-0.43969873227261413
medmal,64,mack_chain_ladder,-0.43969873227261413
medmal,64,bornhuetter_ferguson,-0.1570969473784488
medmal,65,chain_ladder,-0.26004031855638954
medmal,65,mack_chain_ladder,-0.26004031855638954
medmal,65,bornhuetter_ferguson,0.20100850851962998
medmal,66,chain_ladder,-0.2826191687089726
medmal,66,mack_chain_ladder,-0.2826191687089726
medmal,66,bornhuetter_ferguson,-0.05913270229050198
medmal,67,chain_ladder,-0.2636114526498223
medmal,67,mack_chain_ladder,-0.2636114526498223
medmal,67,bornhuetter_ferguson,0.12713320197407424
medmal,68,chain_ladder,-0.39047365594864486
medmal,68,mack_chain_ladder,-0.39047365594864486
medmal,68,bornhuetter_ferguson,0.03160350945781321
medmal,69,chain_ladder,-0.24745893055921936
medmal,69,mack_chain_ladder,-0.24745893055921936
medmal,69,bornhuetter_ferguson,0.07775727806338209
medmal,70,chain_ladder,-0.3927760193901756
medmal,70,mack_chain_ladder,-0.3927760193901756
medmal,70,bornhuetter_ferguson,-0.04211993940523062
medmal,71,chain_ladder,-0.4207960606528752
medmal,71,mack_chain_ladder,-0.4207960606528752
medmal,71,bornhuetter_ferguson,-0.03007755125964232
medmal,72,chain_ladder,-0.5108575461697243
medmal,72,mack_chain_ladder,-0.5108575461697243
medmal,72,bornhuetter_ferguson,-0.16639957906188793
medmal,73,chain_ladder,-0.20636389843006753
medmal,73,mack_chain_ladder,-0.20636389843006753
medmal,73,bornhuetter_ferguson,0.1129773962582104
medmal,74,chain_ladder,-0.17615647858170155
medmal,74,mack_chain_ladder,-0.17615647858170155
medmal,74,bornhuetter_ferguson,0.185462770326254
medmal,75,chain_ladder,-0.5084686916311141
medmal,75,mack_chain_ladder,-0.5084686916311141
medmal,75,bornhuetter_ferguson,-0.17494300229637458
medmal,76,chain_ladder,-0.4221446085140766
medmal,76,mack_chain_ladder,-0.4221446085140766
medmal,76,bornhuetter_ferguson,-0.11828544049177667
medmal,77,chain_ladder,-0.11079871656087795
medmal,77,mack_chain_ladder,-0.11079871656087795
medmal,77,bornhuetter_ferguson,0.08604064915356967
medmal,78,chain_ladder,-0.08220594974301536
medmal,78,mack_chain_ladder,-0.08220594974301536
medmal,78,bornhuetter_ferguson,0.0920838631990999
medmal,79,chain_ladder,-0.3096212971137984
medmal,79,mack_chain_ladder,-0.3096212971137984
medmal,79,bornhuetter_ferguson,0.017353031904779097
medmal,80,chain_ladder,-0.22791719968819188
medmal,80,mack_chain_ladder,-0.22791719968819188
medmal,80,bornhuetter_ferguson,-0.013416446575014632
medmal,81,chain_ladder,-0.33454638725843977
medmal,81,mack_chain_ladder,-0.33454638725843977
medmal,81,bornhuetter_ferguson,0.11481796812080124
medmal,82,chain_ladder,-0.2341315016218391
medmal,82,mack_chain_ladder,-0.2341315016218391
