detection_scale,frequency_multiplier,loss_conversion_ratio,remediation_cost,topology,var_995,var_995_ci_low,var_995_ci_high,es_995
0.6,1.0,0.1,1000.0,T3_SUPERVISOR,153273.54467698288,147169.7447291836,164187.06087957416,167610.37304550217
0.6,1.0,0.1,1000.0,T4_CRITIC,91618048.00135478,91574165.96480648,92190424.56989641,158599488.6934868
0.6,1.0,0.1,1000.0,T5_HUMAN_K0,4923902253.020639,3972665549.0413666,5008152200.629629,5797901869.57693
0.6,1.0,0.1,1000.0,T5_HUMAN_K1,1514728096.8563368,1499698541.6158166,1514845415.6831388,2108412934.6599858
0.6,1.0,0.1,1000.0,T5_HUMAN_K2,268645.8529947012,246426.98769808497,275102.4771803734,299063.35983140214
0.6,1.0,0.1,1000.0,T5_HUMAN_K3,299655.3196706663,289875.0304009133,320556.9125452206,343040.49392398
0.6,1.0,0.1,5000.0,T1_LINEAR,4963180693.327996,4011757990.304394,6849098805.524834,6615576832.812375
0.6,1.0,0.1,5000.0,T2_VALIDATOR,209467.29505023424,195264.4068721343,222457.2067567456,229833.4120137146
0.6,1.0,0.1,5000.0,T3_SUPERVISOR,208194.6375409649,201802.18694935084,219575.16140096547,225013.89186263966
0.6,1.0,0.1,5000.0,T4_CRITIC,91662547.82063937,91623395.46542855,92276108.29476629,158645916.64493036
0.6,1.0,0.1,5000.0,T5_HUMAN_K0,4923938253.020639,3972739638.2622857,4997966600.277616,5797948269.57693
0.6,1.0,0.1,5000.0,T5_HUMAN_K1,1514780765.5001583,1499676393.505048,1514852377.6259265,2108456401.3266525
0.6,1.0,0.1,5000.0,T5_HUMAN_K2,315237.11337263585,296744.13777828193,328622.5849618353,350267.5477984791
0.6,1.0,0.1,5000.0,T5_HUMAN_K3,357193.514485423,341543.59158361866,376708.1752784142,397011.8192587178
0.6,1.0,0.1,10000.0,T1_LINEAR,4963245693.327996,4011695917.8157587,6849132059.206198,6615632499.479041
0.6,1.0,0.1,10000.0,T2_VALIDATOR,282070.1373888349,268156.30958089436,295282.7609808728,306642.2634530826
0.6,1.0,0.1,10000.0,T3_SUPERVISOR,289545.54730700486,271471.1260310759,306199.89746567584,310067.16659145535
0.6,1.0,0.1,10000.0,T4_CRITIC,91725598.76811041,91692393.26593028,182898297.49505144,158706401.2921413
0.6,1.0,0.1,10000.0,T5_HUMAN_K0,4923983253.020639,3972753064.299024,5008269200.629629,5798006269.57693
0.6,1.0,0.1,10000.0,T5_HUMAN_K1,1514850740.5001583,1499735015.0501351,1514917222.8989937,2108510734.6599858
0.6,1.0,0.1,10000.0,T5_HUMAN_K2,387390.30726935464,365223.50984925457,392734.6611322691,418540.1645079617
0.6,1.0,0.1,10000.0,T5_HUMAN_K3,435524.7033489086,404342.0201500068,447841.08621094015,470107.11374520423
0.6,2.0,0.01,1000.0,T1_LINEAR,684934335.6085652,642587718.319512,686542468.6822952,755255419.5292945
0.6,2.0,0.01,1000.0,T2_VALIDATOR,47226.73527637551,44931.95948514041,48412.462118838,49628.837212815444
0.6,2.0,0.01,1000.0,T3_SUPERVISOR,45217.80772690192,44237.650570214624,46449.25901498002,47479.883840199014
