lob,grcode,fault,detected,duplicate_check,nonnegative_check,development_check,completeness_check,extreme_increment_check
othliab,5940,negative_paid,True,False,True,False,False,False
othliab,5940,development_mismatch,True,False,True,True,False,False
othliab,5940,missing_cell,True,False,True,False,True,False
othliab,5940,unit_x1000,True,False,True,False,False,False
othliab,35408,duplicate_key,True,True,True,False,False,False
othliab,35408,negative_paid,True,False,True,False,False,False
othliab,35408,development_mismatch,True,False,True,True,False,False
othliab,35408,missing_cell,True,False,True,False,True,False
othliab,35408,unit_x1000,True,False,True,False,False,False
othliab,10083,duplicate_key,True,True,True,False,False,False
othliab,10083,negative_paid,True,False,True,False,False,False
othliab,10083,development_mismatch,True,False,True,True,False,False
othliab,10083,missing_cell,True,False,True,False,True,False
othliab,10083,unit_x1000,True,False,True,False,False,False
othliab,23663,duplicate_key,True,True,False,False,False,False
othliab,23663,negative_paid,True,False,True,False,False,False
othliab,23663,development_mismatch,True,False,False,True,False,False
othliab,23663,missing_cell,True,False,False,False,True,False
othliab,23663,unit_x1000,False,False,False,False,False,False
othliab,26797,duplicate_key,True,True,False,False,False,False
othliab,26797,negative_paid,True,False,True,False,False,False
othliab,26797,development_mismatch,True,False,False,True,False,False
othliab,26797,missing_cell,True,False,False,False,True,False
othliab,26797,unit_x1000,False,False,False,False,False,False
othliab,39861,duplicate_key,True,True,False,False,False,False
othliab,39861,negative_paid,True,False,True,False,False,False
othliab,39861,development_mismatch,True,False,False,True,False,False
othliab,39861,missing_cell,True,False,False,False,True,False
othliab,39861,unit_x1000,False,False,False,False,False,False
othliab,2623,duplicate_key,True,True,True,False,False,False
othliab,2623,negative_paid,True,False,True,False,False,False
othliab,2623,development_mismatch,True,False,True,True,False,False
othliab,2623,missing_cell,True,False,False,False,True,False
othliab,2623,unit_x1000,True,False,True,False,False,False
othliab,715,duplicate_key,True,True,False,False,False,False
othliab,715,negative_paid,True,False,True,False,False,False
othliab,715,development_mismatch,True,False,False,True,False,False
othliab,715,missing_cell,True,False,False,False,True,False
othliab,715,unit_x1000,True,False,False,False,False,True
othliab,43265,duplicate_key,True,True,False,False,False,False
othliab,43265,negative_paid,True,False,True,False,False,False
othliab,43265,development_mismatch,True,False,False,True,False,False
othliab,43265,missing_cell,True,False,False,False,True,False
othliab,43265,unit_x1000,True,False,False,False,False,True
ppauto,1767,duplicate_key,True,True,False,False,False,False
ppauto,1767,negative_paid,True,False,True,False,False,False
ppauto,1767,development_mismatch,True,False,False,True,False,False
ppauto,1767,missing_cell,True,False,False,False,True,False
ppauto,1767,unit_x1000,False,False,False,False,False,False
ppauto,2003,duplicate_key,True,True,False,False,False,False
ppauto,2003,negative_paid,True,False,True,False,False,False
ppauto,2003,development_mismatch,True,False,False,True,False,False
ppauto,2003,missing_cell,True,False,False,False,True,False
ppauto,2003,unit_x1000,False,False,False,False,False,False
ppauto,4839,duplicate_key,True,True,False,False,False,False
ppauto,4839,negative_paid,True,False,True,False,False,False
ppauto,4839,development_mismatch,True,False,False,True,False,False
ppauto,4839,missing_cell,True,False,False,False,True,False
ppauto,4839,unit_x1000,False,False,False,False,False,False
ppauto,7080,duplicate_key,True,True,False,False,False,False
ppauto,7080,negative_paid,True,False,True,False,False,False
ppauto,7080,development_mismatch,True,False,False,True,False,False
ppauto,7080,missing_cell,True,False,False,False,True,False
ppauto,7080,unit_x1000,False,False,False,False,False,False
ppauto,388,duplicate_key,True,True,False,False,False,False
ppauto,388,negative_paid,True,False,True,False,False,False
ppauto,388,development_mismatch,True,False,False,True,False,False
ppauto,388,missing_cell,True,False,False,False,True,False
ppauto,388,unit_x1000,True,False,False,False,False,True
ppauto,43,duplicate_key,True,True,False,False,False,False
ppauto,43,negative_paid,True,False,True,False,False,False
ppauto,43,development_mismatch,True,False,False,True,False,False
ppauto,43,missing_cell,True,False,False,False,True,False
ppauto,43,unit_x1000,False,False,False,False,False,False
ppauto,1090,duplicate_key,True,True,False,False,False,False
ppauto,1090,negative_paid,True,False,True,False,False,False
ppauto,1090,development_mismatch,True,False,False,True,False,False
ppauto,1090,missing_cell,True,False,False,False,True,False
ppauto,1090,unit_x1000,False,False,False,False,False,False
ppauto,6947,duplicate_key,True,True,False,False,False,False
ppauto,6947,negative_paid,True,False,True,False,False,False
ppauto,6947,development_mismatch,True,False,False,True,False,False
ppauto,6947,missing_cell,True,False,False,False,True,False
ppauto,6947,unit_x1000,False,False,False,False,False,False
ppauto,3240,duplicate_key,True,True,False,False,False,False
ppauto,3240,negative_paid,True,False,True,False,False,False
ppauto,3240,development_mismatch,True,False,False,True,False,False
ppauto,3240,missing_cell,True,False,False,False,True,False
ppauto,3240,unit_x1000,False,False,False,False,False,False
ppauto,10336,duplicate_key,True,True,False,False,False,False
ppauto,10336,negative_paid,True,False,True,False,False,False
ppauto,10336,development_mismatch,True,False,False,True,False,False
ppauto,10336,missing_cell,True,False,False,False,True,False
ppauto,10336,unit_x1000,False,False,False,False,False,False
ppauto,33499,duplicate_key,True,True,False,False,False,False
ppauto,33499,negative_paid,True,False,True,False,False,False
ppauto,33499,development_mismatch,True,False,False,True,False,False
ppauto,33499,missing_cell,True,False,False,False,True,False
ppauto,33499,unit_x1000,False,False,False,False,False,False
ppauto,671,duplicate_key,True,True,False,False,False,False
ppauto,671,negative_paid,True,False,True,False,False,False
ppauto,671,development_mismatch,True,False,False,True,False,False
ppauto,671,missing_cell,True,False,False,False,True,False
ppauto,671,unit_x1000,False,False,False,False,False,False
ppauto,692,duplicate_key,True,True,False,False,False,False
ppauto,692,negative_paid,True,False,True,False,False,False
ppauto,692,development_mismatch,True,False,False,True,False,False
ppauto,692,missing_cell,True,False,False,False,True,False
ppauto,692,unit_x1000,False,False,False,False,False,False
ppauto,620,duplicate_key,True,True,False,False,False,False
ppauto,620,negative_paid,True,False,True,False,False,False
ppauto,620,development_mismatch,True,False,False,True,False,False
ppauto,620,missing_cell,True,False,False,False,True,False
ppauto,620,unit_x1000,False,False,False,False,False,False
ppauto,1538,duplicate_key,True,True,False,False,False,False
ppauto,1538,negative_paid,True,False,True,False,False,False
ppauto,1538,development_mismatch,True,False,False,True,False,False
ppauto,1538,missing_cell,True,False,False,False,True,False
ppauto,1538,unit_x1000,False,False,False,False,False,False
ppauto,2208,duplicate_key,True,True,False,False,False,False
ppauto,2208,negative_paid,True,False,True,False,False,False
ppauto,2208,development_mismatch,True,False,False,True,False,False
ppauto,2208,missing_cell,True,False,False,False,True,False
ppauto,2208,unit_x1000,False,False,False,False,False,False
ppauto,5185,duplicate_key,True,True,False,False,False,False
ppauto,5185,negative_paid,True,False,True,False,False,False
ppauto,5185,development_mismatch,True,False,False,True,False,False
ppauto,5185,missing_cell,True,False,False,False,True,False
ppauto,5185,unit_x1000,False,False,False,False,False,False
ppauto,14311,duplicate_key,True,True,False,False,False,False
ppauto,14311,negative_paid,True,False,True,False,False,False
ppauto,14311,development_mismatch,True,False,False,True,False,False
ppauto,14311,missing_cell,True,False,False,False,True,False
ppauto,14311,unit_x1000,False,False,False,False,False,False
ppauto,12360,duplicate_key,True,True,False,False,False,False
ppauto,12360,negative_paid,True,False,True,False,False,False
ppauto,12360,development_mismatch,True,False,False,True,False,False
ppauto,12360,missing_cell,True,False,False,False,True,False
ppauto,12360,unit_x1000,False,False,False,False,False,False
ppauto,715,duplicate_key,True,True,False,False,False,False
ppauto,715,negative_paid,True,False,True,False,False,False
ppauto,715,development_mismatch,True,False,False,True,False,False
ppauto,715,missing_cell,True,False,False,False,True,False
ppauto,715,unit_x1000,True,False,False,False,False,True
ppauto,25275,duplicate_key,True,True,False,False,False,False
ppauto,25275,negative_paid,True,False,True,False,False,False
