source_kind,local_path,source_url,revision,sha256,bytes,file_count,license_files,declared_license,status,note
http,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SQ_Balance_Sheet.csv,https://nexteuropa-multisites.s3.eu-west-1.amazonaws.com/www.eiopa.europa.eu/assets/insurance-statistics/SQ_Balance_Sheet.csv,,879f1032b6d72b0428e6ef596247e3bbfae94bcc90e5187e48c852761caac0d1,21688724,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SQ_Own_Funds.csv,https://nexteuropa-multisites.s3.eu-west-1.amazonaws.com/www.eiopa.europa.eu/assets/insurance-statistics/SQ_Own_Funds.csv,,09749dea6c44bf7363326516f52eb0bda1abff00b9425f6a23c7d60af2294251,7054095,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/benign_behaviors_test_public.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,65b4ebd4d8d2e7c9a79db4e11bc642f1800e642be0626ba0a990c763a325957a,138721,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/benign_behaviors_validation.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,b74ffb781ce54182775a8b2843ea341ab2fb4cfea5743bfa89a368e52a76c27a,23508,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/chat_public_test.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,699a8325ce6dc355fd6ebef07bd2a9e76cca4c0ca7b6971774f2ff117e8f4512,17984,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/chat_validation.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,06684a6968e0bb65bcb15bc1cdaf3bd8c486fc54164e7623a35e3ee58bf93565,3134,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/harmful_behaviors_test_public.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,fc3e4abbcd812022b85150b0e6f81c0bdbdfabb486e5b82ec46f1ba135f3ba08,134140,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/harmful_behaviors_validation.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,40cd099915258b41142acfc88a9f2b4e15cd631c5490ad02a0dce0cf2b9c175e,22584,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/LICENSE,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,b5f0803470d24b0b441e7cece4fe68df0bd4086f1dc118ca27718d31775f5cf9,1237,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/ai-safety-institute_AgentHarm/README.md,https://huggingface.co/datasets/ai-safety-institute/AgentHarm,e23b3fe60a0da9037314b88e5ee3a0c054970dad,a161c8273e7c4212463be38aad8a03667940f7383ddabc712f9cf4ab69c99f0e,6353,1,,other,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/butterflylabs_ai-incidents/.gitattributes,https://huggingface.co/datasets/butterflylabs/ai-incidents,a867edbc6ce5380343fff69fb7f97d2288f16ec9,100779bb73a5bd27587e534d20733a8ecc37daa70804ab7366b7e27e6b832310,2606,1,,cc-by-4.0,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/butterflylabs_ai-incidents/dataset.json,https://huggingface.co/datasets/butterflylabs/ai-incidents,a867edbc6ce5380343fff69fb7f97d2288f16ec9,03b044c224f38b8931bb49e4497613f647df45b411de40f0122815eed530833a,3317,1,,cc-by-4.0,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/butterflylabs_ai-incidents/incidents.csv,https://huggingface.co/datasets/butterflylabs/ai-incidents,a867edbc6ce5380343fff69fb7f97d2288f16ec9,ed2db9cda08d8235fd6a804030317d4e2c8069f3ee805a9452b9e26d28e62a71,10770704,1,,cc-by-4.0,verified,File SHA-256 verified locally.
huggingface,data/raw/huggingface/butterflylabs_ai-incidents/incidents.jsonl,https://huggingface.co/datasets/butterflylabs/ai-incidents,a867edbc6ce5380343fff69fb7f97d2288f16ec9,531840693e7024c8ea7a6054a5fba15e0cfe3760a473f18874613de5e1aa3925,12784105,1,,cc-by-4.0,verified,File SHA-256 verified locally.
