stage,fault_type,topology,state_before,state_after,posterior_mean,ci_05,ci_95,cell_n
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,R,H,0.011891815239418279,1.9376930206076615e-07,0.056393406918593146,12.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,E,C,0.016583413368778343,2.8218898024126047e-07,0.08212149205561892,6.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,E,E,0.5724115304843655,0.35977466338899095,0.767191109290795,6.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,E,R,0.3933823978917572,0.20424337683328297,0.6053814844965142,6.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,E,H,0.017622658255098757,3.4309228986837784e-07,0.08528217175249171,6.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,R,C,0.012909296038961187,1.7599387441073403e-07,0.06295215556159445,10.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,R,E,0.013755068064935705,2.2532424776786447e-07,0.06841385519832532,10.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,R,R,0.9601979549433238,0.8675207035200535,0.9991067506072276,10.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,R,H,0.013137680952779228,1.6864986705030683e-07,0.06392457406587312,10.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,E,C,0.008807468640750611,7.252117508180896e-08,0.042819036576840046,21.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,E,E,0.824085108333766,0.696236185032097,0.9245946599363926,21.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,E,R,0.15844943088816235,0.06375943642301192,0.28628360166895417,21.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,E,H,0.008657992137321099,1.6821063349679487e-07,0.042760053746978756,21.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,R,C,0.021566747504636555,2.532797100265459e-07,0.10263415450545102,3.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,R,E,0.02143357661185234,3.4799542460905895e-07,0.10088244764338535,3.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,R,R,0.9357757415563551,0.7935578595452643,0.998251750567811,3.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,R,H,0.021223934327155993,5.062961070915668e-07,0.10375958617602829,3.0
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,E,C,0.020564292129608183,5.74451880758168e-07,0.10051967666106738,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,E,E,0.506224218664937,0.28115188484817816,0.725853499282326,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,E,R,0.45342065226094697,0.23705427359839143,0.680990857569062,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,E,H,0.01979083694450777,4.042978030925561e-07,0.09415306829528344,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,R,C,0.008328110887242411,1.9820040431817413e-07,0.041244333420857184,20.0
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,R,E,0.008348300773297521,1.7488037666555138e-07,0.03986319520728477,20.0
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,R,R,0.9745398527636969,0.9174455198250936,0.9994587323901113,20.0
S4_MODEL,F7_ADVERSARIAL,T2_VALIDATOR,R,H,0.008783735575763113,1.7018729069616013e-07,0.04225652513707216,20.0
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,E,C,0.019983635273289474,4.0779130437351474e-07,0.09973020038866924,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,E,E,0.5034272374761288,0.277577684840542,0.7270231472178454,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,E,R,0.4572045342783451,0.24171019802083393,0.682610571235333,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,E,H,0.019384592972236558,4.842068894496579e-07,0.09048523226138575,4.000000000000002
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,R,C,0.008604663909298052,1.595234294374312e-07,0.041369406192687794,20.0
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,R,E,0.008545393935233648,1.1602883426732458e-07,0.040717800592905785,20.0
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,R,R,0.9743036623829118,0.916563996262253,0.9992900444504268,20.0
S4_MODEL,F7_ADVERSARIAL,T3_SUPERVISOR,R,H,0.008546279772556592,2.2005266547477062e-07,0.039354730418071276,20.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,E,C,0.008062604209082141,1.5643573465909815e-07,0.039566584193509606,23.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,E,E,0.8342155634777307,0.7151941822848007,0.9284274268272398,23.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,E,R,0.14999034775775863,0.059676078890510124,0.26575615643631095,23.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,E,H,0.007731484555428587,1.413212947415042e-07,0.03708379644924526,23.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,R,C,0.027436806491503794,5.552659775523524e-07,0.1326323339369451,1.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,R,E,0.025297989099772104,6.558824081944916e-07,0.12148291922192049,1.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,R,R,0.9219905432797773,0.7527148579890909,0.998087423040254,1.0
