replication,topology,parameter,truth,estimate,ci_05,ci_95,ci_025,ci_975,covered_90,covered_95
70,T2_VALIDATOR,E_to_E,0.2,0.16779597703393717,0.09470904763223059,0.25545969679778086,0.08663583881652534,0.27215558319154676,True,True
71,T1_LINEAR,E_to_E,0.93,0.9712765899175385,0.9276666274100788,0.9954408779659437,0.9153369391256525,0.9971645535428727,True,True
71,T2_VALIDATOR,E_to_E,0.2,0.1516988985481718,0.08345175198275824,0.23387520740510628,0.07444115925666736,0.25199266597428344,True,True
72,T1_LINEAR,E_to_E,0.93,0.9383626259787785,0.8805453827830214,0.9788741572689932,0.8638615983033717,0.982011996848669,True,True
72,T2_VALIDATOR,E_to_E,0.2,0.20013624198748478,0.12235575501162012,0.29059241980916917,0.1104587562833013,0.3076888114536091,True,True
73,T1_LINEAR,E_to_E,0.93,0.9048222665887681,0.8368735059393763,0.9567312571715403,0.8215771487876893,0.9625895181650559,True,True
73,T2_VALIDATOR,E_to_E,0.2,0.23338057648818886,0.14909407505940636,0.32295295806209273,0.13817417530004145,0.339823134965186,True,True
74,T1_LINEAR,E_to_E,0.93,0.9542558281836279,0.9034246995206668,0.9877430836718365,0.8908968080112147,0.9906258183088281,True,True
74,T2_VALIDATOR,E_to_E,0.2,0.15366873622790758,0.08443219107940012,0.23344087715729162,0.07506292458144005,0.24877470962432496,True,True
75,T1_LINEAR,E_to_E,0.93,0.9060841419736243,0.8391989794683687,0.960382176842669,0.8251304860080197,0.9667609878075816,True,True
75,T2_VALIDATOR,E_to_E,0.2,0.3003924122939381,0.20918934892925442,0.40014103135519014,0.19611612690310717,0.41916675917705315,False,True
76,T1_LINEAR,E_to_E,0.93,0.9555632298152363,0.9047650043644633,0.9882157743435305,0.8947727652834448,0.9909247556997389,True,True
76,T2_VALIDATOR,E_to_E,0.2,0.31584974214742806,0.22394081681748063,0.4152663006724736,0.20725119682250961,0.4376082327356039,False,False
77,T1_LINEAR,E_to_E,0.93,0.9714014698963612,0.9295600552834519,0.9957208785522493,0.9152984750922889,0.997256588031872,True,True
77,T2_VALIDATOR,E_to_E,0.2,0.11780305394295597,0.05794207704530223,0.19008207850251763,0.05037548648859838,0.205797906647751,False,True
78,T1_LINEAR,E_to_E,0.93,0.9059649140580361,0.8379708867251644,0.9568105257469002,0.8223919028379131,0.9631320528702761,True,True
78,T2_VALIDATOR,E_to_E,0.2,0.2186421870246113,0.13772126369897242,0.31500086347899464,0.125573724317805,0.33189096761478354,True,True
79,T1_LINEAR,E_to_E,0.93,0.8556647476114349,0.778286712886992,0.9233742524816678,0.7618426096418027,0.9326981720295594,False,True
79,T2_VALIDATOR,E_to_E,0.2,0.15286345420141254,0.08568279945999838,0.23674674050626804,0.07357554052448584,0.2528852950759813,True,True
